"No.","Time","Source","Destination","Protocol","Length","Info"
"244","15.281533","23.46.188.128","192.168.43.92","TCP","1350","443  >  3138 [PSH, ACK] Seq=2801 Ack=291 Win=64128 Len=1296 [TCP segment of a reassembled PDU]"
"245","15.282142","23.46.188.128","192.168.43.92","TCP","1454","443  >  3138 [ACK] Seq=4097 Ack=291 Win=64128 Len=1400 [TCP segment of a reassembled PDU]"
"246","15.282280","192.168.43.92","23.46.188.128","TCP","54","3138  >  443 [ACK] Seq=291 Ack=5497 Win=65792 Len=0"
"247","15.283412","192.168.43.92","192.229.211.108","TCP","66","[TCP Retransmission] 3137  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"248","15.436752","23.46.188.128","192.168.43.92","TLSv1.3","644","Application Data, Application Data, Application Data"
"249","15.439018","192.168.43.92","23.46.188.128","TLSv1.3","134","Change Cipher Spec, Application Data"
"250","15.439910","192.168.43.92","23.46.188.128","TLSv1.3","315","Application Data"
"251","15.478595","192.229.211.108","192.168.43.92","TCP","66","80  >  3137 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=512"
"252","15.478734","192.168.43.92","192.229.211.108","TCP","54","3137  >  80 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"253","15.481314","192.168.43.92","192.229.211.108","HTTP","290","GET /MFEwTzBNMEswSTAJBgUrDgMCGgUABBSAUQYBMq2awn1Rh6Doh%2FsBYgFV7gQUA95QNVbRTLtm8KPiGxvDl7I90VUCEAJ0LqoXyo4hxxe7H%2Fz9DKA%3D HTTP/1.1 "
"254","15.602745","23.46.188.128","192.168.43.92","TCP","66","[TCP Dup ACK 240#1] 443  >  3138 [ACK] Seq=6087 Ack=291 Win=64128 Len=0 SLE=371 SRE=632"
"255","15.653190","192.168.43.92","23.46.188.128","TCP","395","[TCP Retransmission] 3138  >  443 [PSH, ACK] Seq=291 Ack=6087 Win=65024 Len=341"
"256","15.690625","192.229.211.108","192.168.43.92","OCSP","791","Response"
"257","15.712945","192.168.43.92","40.126.24.81","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"258","15.743345","192.168.43.92","192.229.211.108","TCP","54","3137  >  80 [ACK] Seq=237 Ack=738 Win=65024 Len=0"
"259","15.929641","40.126.24.81","192.168.43.92","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"260","15.931382","192.168.43.92","40.126.24.81","TLSv1.2","309","Application Data"
"261","15.931460","192.168.43.92","40.126.24.81","TCP","1454","3131  >  443 [ACK] Seq=702 Ack=4008 Win=524800 Len=1400 [TCP segment of a reassembled PDU]"
"262","16.123293","192.168.43.92","23.46.188.128","TCP","395","[TCP Retransmission] 3138  >  443 [PSH, ACK] Seq=291 Ack=6087 Win=65024 Len=341"
"263","16.131729","40.126.24.81","192.168.43.92","TCP","54","443  >  3131 [ACK] Seq=4008 Ack=2102 Win=4194304 Len=0"
"264","16.131824","192.168.43.92","40.126.24.81","TCP","1454","3131  >  443 [ACK] Seq=2102 Ack=4008 Win=524800 Len=1400 [TCP segment of a reassembled PDU]"
"265","16.131824","192.168.43.92","40.126.24.81","TLSv1.2","875","Application Data"
